label,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
Speaker0026,-388.88647,78.204605,8.790493,18.3474,6.653521,13.41747,-18.315836,-14.068777,-18.074724,-3.6393707,-17.618568,0.5855578,-5.155969
Speaker0026,-401.09888,69.34059,7.483597,18.609064,9.606542,10.343461,-17.365911,-12.604426,-14.931265,-4.770497,-12.895557,1.8975416,-5.7455096
Speaker0026,-358.36462,75.88465,3.885194,22.860327,10.728387,9.330923,-20.427704,-11.852924,-15.820542,-5.963172,-16.033697,2.0283911,-7.0864015
Speaker0026,-359.896,74.51986,5.9424505,21.63406,8.785293,10.398696,-19.7031,-14.985373,-17.178879,-5.4713516,-16.623644,3.5685718,-7.7388988
Speaker0026,-363.32227,75.89061,5.3958178,24.06573,6.4028788,7.490088,-19.1905,-16.697855,-16.454823,-8.587026,-15.413691,0.66642743,-7.6252704
Speaker0026,-356.56268,74.451805,2.8716748,24.290638,8.080434,11.561997,-20.943848,-15.321388,-17.37451,-5.03194,-16.845425,3.0441382,-6.88611
Speaker0026,-366.15335,78.557655,3.436504,19.42347,8.13502,8.752154,-16.644339,-16.027838,-16.16473,-6.509192,-14.772551,2.4944785,-5.1022754
Speaker0026,-371.5672,80.86329,3.2191973,20.783094,8.089318,9.950915,-19.427597,-12.978543,-17.241251,-4.8376575,-15.847204,2.9051208,-6.4884663
Speaker0026,-381.65247,81.84919,-5.9808607,25.921724,9.586488,12.309097,-18.235317,-12.58352,-12.591883,-5.7521296,-15.224407,-0.987861,-3.1922543
Speaker0026,-358.85562,89.72226,-1.7008457,22.856367,9.536947,14.466568,-18.77892,-15.912646,-12.545885,-9.361797,-15.058286,-0.40137342,-4.3268037
Speaker0026,-367.82654,87.64801,-2.4121015,28.340763,8.5932455,13.39524,-19.331345,-13.463355,-12.916156,-7.9021964,-14.62111,-0.6304471,-5.2074695
Speaker0026,-374.84854,87.03823,-5.096019,28.472643,6.386445,11.618974,-16.345469,-13.124105,-11.922372,-9.981968,-11.934396,-2.1056137,-4.7211423
Speaker0026,-368.16684,78.13689,-4.837229,28.344938,9.507027,10.881552,-18.499634,-11.790426,-12.923866,-8.749665,-13.064738,-1.4127212,-4.121249
Speaker0026,-390.33835,82.63913,-6.1496797,27.293344,9.084906,9.666523,-16.193954,-11.924596,-10.870048,-9.419916,-12.306732,-1.0698397,-5.742282
Speaker0026,-375.60184,85.76686,-5.3422103,24.16327,4.793106,12.746125,-19.52016,-16.9062,-13.557603,-9.055987,-15.046557,-3.2111876,-4.4978595
Speaker0026,-405.47086,71.96364,3.4094694,23.141851,6.8368826,8.975914,-16.961159,-10.364156,-11.7541,-5.659029,-13.817862,0.4534752,-5.253652
Speaker0026,-359.94662,74.23272,7.417814,21.234236,3.8096569,8.208262,-22.083344,-10.714225,-15.154529,-5.2863665,-15.27717,1.8187875,-3.7396321
Speaker0026,-367.12442,73.73345,8.913724,20.4777,7.1956058,8.677795,-21.78347,-13.478527,-16.543812,-4.5623765,-15.420476,3.3204594,-3.9772186
Speaker0026,-355.45386,70.18266,3.4008975,22.764763,8.277636,9.493175,-23.362757,-13.8812685,-15.110948,-3.0762913,-17.101719,4.081572,-5.3789587
Speaker0026,-344.23965,74.77715,4.2932963,24.636898,9.900323,7.906841,-22.991913,-13.287075,-14.977865,-4.6407695,-15.368295,1.7117612,-3.95585
Speaker0026,-356.45874,75.72339,5.7025223,25.323696,9.650013,8.616608,-21.345995,-11.7159,-15.151708,-4.748184,-15.0742235,1.4779131,-4.022047
Speaker0026,-354.2183,78.88513,9.302878,27.248402,13.080938,7.014753,-23.117758,-12.868053,-14.536671,-5.5356336,-15.954425,2.6752462,-5.399717
Speaker0026,-354.29755,73.37932,5.369106,25.051687,9.848907,7.6223087,-22.291668,-12.775299,-15.012305,-4.8157935,-15.843407,2.1406853,-4.2706122
Speaker0026,-371.66702,69.49186,6.890939,24.321104,6.90302,7.144681,-20.251593,-11.183956,-15.081594,-3.665856,-14.937368,1.4344454,-5.3907733
Speaker0026,-349.65396,72.64501,6.6314497,22.912897,7.9310527,9.666429,-20.479898,-13.450193,-17.468557,-3.7514296,-16.737648,1.0347164,-3.8296258
Speaker0026,-346.23703,70.911354,6.0774064,24.333296,8.840143,6.671463,-20.46948,-11.61309,-15.3046665,-3.176275,-15.520048,2.0346348,-4.1182795
Speaker0026,-364.51627,75.49923,8.713523,26.723238,6.8978777,7.394319,-19.317556,-9.625957,-17.334753,-4.0875583,-16.457024,1.3174675,-6.492693
Speaker0026,-366.18347,72.36534,6.7465386,25.796364,7.054438,6.699838,-19.152006,-9.559083,-16.972193,-3.8162904,-16.322515,1.8061589,-4.199629
